"Duration,""Start Time"",""Profile Name"",""Country"",""Bookmark"",""Latest Bookmark"",""Supplemental Video Type"",""Attributes"",""Device Type"",""Title""";;;
"00:46:04,""2026-01-20 19:11:22"",""Ryan"",""BR (Brazil)"",""00:46:39"",""00:46:39"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: Protocolo (episódio 2)""";;;
"00:14:30,""2026-01-20 18:56:32"",""Ryan"",""BR (Brazil)"",""00:49:05"",""00:49:05"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: Las Encinas (episódio 1)""";;;
"00:32:26,""2026-01-19 21:02:20"",""Ryan"",""BR (Brazil)"",""00:32:49"",""Not latest view"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 7: Las Encinas (episódio 1)""";;;
"00:40:48,""2026-01-19 20:21:28"",""Ryan"",""BR (Brazil)"",""00:52:54"",""00:52:54"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 6: Separação (episódio 8)""";;;
"00:00:04,""2026-01-19 20:18:38"",""Ryan"",""BR (Brazil)"",""00:00:04"",""00:00:04"",""TRAILER"","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Bleach (Trailer)""";;;
"00:00:19,""2026-01-18 14:16:25"",""Ryan"",""BR (Brazil)"",""00:00:19"",""00:00:19"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Spartacus: Vengeance_hook_primary_16x9""";;
"00:12:03,""2026-01-18 13:40:53"",""Ryan"",""BR (Brazil)"",""00:12:08"",""Not latest view"","""",""Autoplayed: user action: User_Interaction";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 6: Separação (episódio 8)""";;
"00:41:52,""2026-01-18 12:58:50"",""Ryan"",""BR (Brazil)"",""00:42:30"",""00:42:30"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 6: Máscaras (episódio 7)""";;;
"00:08:35,""2026-01-18 12:49:56"",""Ryan"",""BR (Brazil)"",""00:45:55"",""00:45:55"","""","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Elite: Temporada 6: Tina (episódio 6)""";;;
"00:07:09,""2026-01-18 11:33:40"",""Ryan"",""BR (Brazil)"",""00:07:14"",""00:07:14"","""","""",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Dele & Dela: Minissérie: Episódio 2 (episódio 2)""";;;
"00:43:13,""2026-01-18 10:50:19"",""Ryan"",""BR (Brazil)"",""00:42:39"",""00:42:39"","""","""",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Dele & Dela: Minissérie: Episódio 1 (episódio 1)""";;;
"00:00:25,""2026-01-18 10:49:49"",""Ryan"",""BR (Brazil)"",""00:00:25"",""00:00:25"",""HOOK"",""Autoplayed: user action: User_Interaction";" "",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Minissérie (Clipe): Dele & Dela""";;
"00:00:14,""2026-01-18 10:49:25"",""Ryan"",""BR (Brazil)"",""00:00:14"",""00:00:14"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2020 Kant-S2 DTV Smart TV"",""Absentia: Season 1_hook_primary""";;
"00:02:01,""2026-01-18 03:42:50"",""Ryan"",""BR (Brazil)"",""00:02:01"",""00:02:01"",""TRAILER"","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Minissérie (Trailer): Custe o que Custar""";;;
"00:01:56,""2026-01-18 03:40:50"",""Ryan"",""BR (Brazil)"",""00:01:56"",""00:01:56"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""The Magnificent Seven_hook_primary_16x9""";;
"00:02:01,""2026-01-18 03:21:11"",""Ryan"",""BR (Brazil)"",""00:02:01"",""Not latest view"",""TRAILER"","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Minissérie (Trailer): Custe o que Custar""";;;
"00:01:56,""2026-01-18 03:19:12"",""Ryan"",""BR (Brazil)"",""00:01:56"",""Not latest view"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""The Magnificent Seven_hook_primary_16x9""";;
"00:01:48,""2026-01-18 03:17:17"",""Ryan"",""BR (Brazil)"",""00:01:48"",""00:01:48"",""TRAILER"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Trailer: O Amor Pode Ser Traduzido?""";;
"00:02:21,""2026-01-18 03:14:50"",""Ryan"",""BR (Brazil)"",""00:02:21"",""00:02:21"",""TRAILER"","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Trailer: French Lover""";;;
"00:01:56,""2026-01-18 03:12:49"",""Ryan"",""BR (Brazil)"",""00:01:56"",""00:01:56"",""TRAILER"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Trailer: Love and Wine""";;
"00:00:42,""2026-01-18 03:12:01"",""Ryan"",""BR (Brazil)"",""00:00:42"",""Not latest view"",""HOOK"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Absentia: Season 1_hook_primary""";;
"00:01:49,""2026-01-18 03:10:09"",""Ryan"",""BR (Brazil)"",""00:01:49"",""00:01:49"",""TRAILER"",""Autoplayed: user action: None";" "",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Trailer: A Última Aventura: Nos Bastidores de Stranger Things 5""";;
"00:02:22,""2026-01-18 03:07:42"",""Ryan"",""BR (Brazil)"",""00:02:22"",""00:02:22"",""TRAILER"","""",""Samsung CE 2024 Kant-SU2e Q60D TV"",""Trailer: A Paris Errada""";;;
