Duration,Start Time,Profile Name,Country,Bookmark,Latest Bookmark,Supplemental Video Type,Attributes,Device Type,Title
00:00:49,25-01-2026,Extra,BR (Brazil),00:00:49,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Lou (Clipe 5): Lou
00:00:07,25-01-2026,Extra,BR (Brazil),00:00:07,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Lou (Clipe 5): Lou
00:00:27,25-01-2026,Extra,BR (Brazil),00:00:27,00:00:27,TRAILER,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Missão no Mar Vermelho (Trailer)
00:00:07,25-01-2026,Extra,BR (Brazil),00:00:07,00:00:07,TRAILER,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,A Terra e o Sangue (Trailer)
00:00:07,25-01-2026,Extra,BR (Brazil),00:00:07,00:00:07,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,The Rhythm Section_hook_primary_16x9_backfill
00:00:15,25-01-2026,Extra,BR (Brazil),00:00:15,00:00:15,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Minissérie (Clipe 3): Voo Criminoso
00:00:11,25-01-2026,Extra,BR (Brazil),00:00:11,00:00:11,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Clipe 5: Dinheiro Suspeito
00:00:08,25-01-2026,Extra,BR (Brazil),00:00:08,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Minissérie (Clipe 3): Voo Criminoso
00:00:10,25-01-2026,Extra,BR (Brazil),00:00:10,00:00:10,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,After the Quake_hook_03
00:17:00,25-01-2026,Extra,BR (Brazil),00:22:14,00:22:14,,,DefaultWidevineAndroidPhone,The Rising of the Shield Hero: Temporada 2: Pegadas do Espírito da Tartaruga (episódio 2)
00:00:05,25-01-2026,Extra,BR (Brazil),00:00:05,00:00:05,TRAILER,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Minissérie (Trailer): Take That
00:00:14,25-01-2026,Extra,BR (Brazil),00:00:14,00:00:14,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,The Perfect Date PVS Clip 6
00:00:11,25-01-2026,Extra,BR (Brazil),00:00:11,00:00:11,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Labor Day_hook_02_16x9
00:00:11,25-01-2026,Extra,BR (Brazil),00:00:11,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Labor Day_hook_02_16x9
00:00:13,25-01-2026,Extra,BR (Brazil),00:00:13,Not latest view,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Minissérie (Clipe 3): Voo Criminoso
00:00:05,25-01-2026,Extra,BR (Brazil),00:00:05,00:00:05,HOOK,Autoplayed: user action: None; ,Panasonic 2018 MT5811 4K FRCTcon TV Smart TV,Beverly Hills Cop II_hook_02_16x9
