Tittle_Name,tmdb_id,name,media_type,vote_average,vote_count,popularity,release_date,runtime,genres,director,top_cast,overview
"""Designated Survivor",67026,Designated Survivor,tv,7.138,1089,29.897,2016-09-21,,"Drama, War & Politics",,"Kiefer Sutherland, Maggie Q, Kal Penn, Adan Canto, Italia Ricci","A série protagonizada por Kiefer Sutherland é centrada em um funcionário do Gabinete da Casa Branca que é indicado para assumir a presidência dos Estados Unidos após um ataque ter deixado mortos todos acima dele na linha sucessória. O título da série vem do termo “sobrevivente designado”, que é utilizado quando algum membro do Gabinete está isolado em um local seguro enquanto todos os outros líderes estão reunidos em um único local. A política é usada para preservar a continuidade do governo no caso de alguma catástrofe. O elenco tem ainda Maggie Q (Nikita, Divergente) e Kal Penn (House), com roteiro produzido por Simon Kinberg (Perdido em Marte, X-Men: Apocalypse) e pela Mark Gordon Company."
"""Special Ops",21592,Rescue: Special Ops,tv,9.077,13,10.4673,2009-08-02,,Drama,,"Daniel Amalm, Gigi Edgley, Katherine Hicks, Les Hill, Andrew Lees",
"""Undercover (BE)",438808,White Boy Rick,movie,6.354,1184,2.3913,2018-09-14,111.0,"Crime, Drama",Yann Demange,"Matthew McConaughey, Richie Merritt, Jennifer Jason Leigh, Bel Powley, RJ Cyler","A história de Richard Wershe Jr. que, em meados da década de 1980, quando tinha apenas 14 anos, se tornou um informante disfarçado para a polícia. Depois acabou virando um grande traficante de drogas e, quando tinha 17 anos, sua vida dupla foi desmascarada ao ser pego com 17 quilos de cocaína. Richard foi condenado a prisão perpétua."
"""A caçada ao Outubro Vermelho""",1669,A Caçada ao Outubro Vermelho,movie,7.378,3556,9.1656,1990-03-02,135.0,"Ação, Thriller",John McTiernan,"Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill, James Earl Jones","O ano é 1984. O alto comando soviético acredita na possibilidade de deserção quando o capitão Markus Ramius, o comandante do Outubro Vermelho, o mais moderno submarino russo, desobedece ordens superiores e navega em direção à América. Outros submarinos soviéticos recebem ordem de afundar o Outubro Vermelho e os americanos decidem fazer o mesmo, temendo que seu território esteja ameaçado. Até que Jack Ryan, um agente da CIA que admira Markus Ramius, tenta impedir este ataque ao submarino."
"""Sneaky Pete",64199,Sneaky Pete,tv,7.476,392,22.44,2015-08-07,,"Drama, Crime",,"Giovanni Ribisi, Marin Ireland, Margo Martindale, Peter Gerety, Shane McRae","Um golpista de 30 e poucos anos assume a identidade de um companheiro de cela. Ele passa a morar e trabalhar com a família de Pete, que não suspeita de nada."
"""Sisyphus",1530890,Sisyphus,movie,0.0,0,1.3751,2019-01-01,90.0,"Drama, Fantasia, Romance",Mohammad Berahmani,"Esmaeil Gorji, Mahdokht Molaei",
"""O Mito de Sísifo",113622,O Mito de Sísifo,tv,7.058,121,6.4587,2021-02-17,,"Sci-Fi & Fantasy, Drama, Mistério, Action & Adventure",진혁,"조승우, 박신혜, Chae Jong Hyeop, 성동일, 태인호","Depois de um incidente misterioso, um engenheiro genial é exposto a segredos perigosos – e à mulher do futuro que está atrás dele."
"""Captivating the King",233205,Reino da Conquista,tv,7.9,29,6.0891,2024-01-21,,"Drama, War & Politics, Mistério",,"조정석, 신세경, 이신영, 박예영, 조성하","Em meio a lutas internas por poder, um rei se envolve com uma mulher misteriosa, que busca vingança. Mas essa relação acaba se transformando em um amor inesperado."
"""Alquimia das Almas",135157,Alquimia das Almas,tv,8.553,746,23.6747,2022-06-18,,"Drama, Sci-Fi & Fantasy, Action & Adventure, Mistério",,"Lee Jae Wook, Go Youn-jung, 민현, 문성현, 신승호",Uma feiticeira poderosa no corpo de uma mulher cega é convocada a mudar o destino de um homem de uma renomada família.
"""Victorious",31251,Brilhante Victória,tv,8.2,1694,27.8578,2010-03-27,,"Comédia, Kids",,"Victoria Justice, Leon Thomas III, Matt Bennett, Elizabeth Gillies, Ariana Grande","Tori Vega é uma adolescente de 16 anos que estudava numa escola normal. Sua irmã, Trina Vega, estuda em uma escola para pessoas talentosas, a Hollywood Arts. Um dia, ela iria fazer uma apresentação musical na escola, porém, devido a um incidente, Tori acaba a substituindo e a mesma descobre que tem talento. Tori acaba entrando na Hollywood Arts e lá ela conhece André, Robbie, Jade, Cat, Beck, e Rex. Juntos eles vão viver historias, aventuras e situações engraçadas."
"""Indomável",231100,O Indomável - Amor Sem Limites,tv,8.9,25,38.6419,2023-09-21,,"Drama, Crime, Soap",Murat Öztürk,"Deniz Can Aktaş, Miray Daner, Mehmet Korhan Fırat, Naz Çağla Irmak, Burak Sevinç","Quando era criança, Halil İbrahim perdeu o pai devido a uma rixa de sangue e foi exilado em Istambul. Vinte anos depois, ele retorna à sua terra natal, na região de Karadeniz, como um jovem bonito e poderoso. Ele planeja se casar com a garota que ama, Yasemin, e começar uma nova vida. Contudo, os acontecimentos não permitem isso. Halil İbrahim embarca em uma jornada de vingança e sua vida mudará completamente quando ele encontrar Zeynep, da família Leto."
"""Brilhante Victória",31251,Brilhante Victória,tv,8.2,1694,27.8578,2010-03-27,,"Comédia, Kids",,"Victoria Justice, Leon Thomas III, Matt Bennett, Elizabeth Gillies, Ariana Grande","Tori Vega é uma adolescente de 16 anos que estudava numa escola normal. Sua irmã, Trina Vega, estuda em uma escola para pessoas talentosas, a Hollywood Arts. Um dia, ela iria fazer uma apresentação musical na escola, porém, devido a um incidente, Tori acaba a substituindo e a mesma descobre que tem talento. Tori acaba entrando na Hollywood Arts e lá ela conhece André, Robbie, Jade, Cat, Beck, e Rex. Juntos eles vão viver historias, aventuras e situações engraçadas."
"""Irmãos de Guerra",4613,Irmãos de Guerra,tv,8.587,4035,27.6925,2001-09-09,,"Drama, War & Politics",,"Michael Cudlitz, Rick Gomez, Scott Grimes, Damian Lewis, Ron Livingston","A trajetória dos integrantes da Easy Company, grupo de elite da infantaria de paraquedistas dos Estados Unidos, desde o treinamento até os combates na histórica invasão da Europa, na Segunda Guerra Mundial."
"""Wandinha",119051,Wandinha,tv,8.356,10333,52.6556,2022-11-23,,"Sci-Fi & Fantasy, Mistério, Comédia",,"Jenna Ortega, Steve Buscemi, Emma Myers, Hunter Doohan, Joy Sunday","Inteligente, sarcástica e meio morta por dentro. Wandinha Addams investiga uma onda de assassinatos e aproveita para fazer novos amigos e inimigos na Escola Nunca Mais."
"""Haikyuu!!",313576,Haikyuu!! Riku vs. Kuu,tv,0.0,0,0.6605,2020-01-15,,"Animação, Comédia",佐藤雅子,"Ayumu Murase, Takeo Otsuka, Kazuyuki Okitsu, Yuki Kaji",
"""Cartas do Passado",278006,Cartas do Passado,tv,5.2,16,3.5747,2025-07-23,,Drama,Cenk Ertürk,"Gökçe Bahadır, Onur Tuna, Selin Yeninci, Erdem Şenocak, Güneş Nezihe Şensoy","Depois de descobrir um segredo do passado, uma jovem precisa encontrar os autores de uma coleção de cartas para revelar a verdade."
"""Our Generation",1422797,Quadrophenia: Our Generation,movie,0.0,0,0.2567,2019-09-21,60.0,Documentário,Ed Coleman,"Phil Daniels, Leslie Ash, John Altman, Ray Winstone, Toyah Willcox",
"""Black Knight",137040,Black Knight,tv,7.3,287,5.2167,2023-05-12,,"Drama, Action & Adventure, Sci-Fi & Fantasy",조의석,"Kim Woo-bin, Kang You Seok, 이솜, 송승헌, 김의성","Em um 2071 distópico, quando o mundo está devastado pela poluição, um refugiado luta para ser entregador, conseguir comida e sobreviver."
"""Nice Guy",10622,Mr. Nice Guy: Bom de Briga,movie,6.525,731,5.2719,1997-01-31,88.0,"Crime, Ação, Comédia",洪金寶,"Jackie Chan, Richard Norton, 李亭頤, Karen McLymont, Gabrielle Fitzpatrick","Melbourne, Austrália. A jornalista Diana (Gabrielle Fitzpatrick) tem uma fita que contém uma prova contra o traficante Giancarlo (Richard Norton), o que a torna presa fácil para os bandidos. Ela pede ajuda ao simpático cozinheiro Jackie (Jackie Chan), mestre em artes marciais, que aceita proteger a repórter. Acidentalmente, a fita VHS se confunde com alguns filmes infantis no carro de Jackie e agora nem ele, nem Diana, nem os bandidos sabem onde o vídeo está. Quando a máfia sequestra a namorada de Jackie, o cozinheiro do kung fu irá mostrar para Giancarlo que a brincadeira acabou."
"""Full House",4313,Três é Demais,tv,7.5,1100,35.9305,1987-09-22,,"Comédia, Família",,"John Stamos, Bob Saget, Dave Coulier, Candace Cameron Bure, Jodie Sweetin","A história começa em 1987, quando Danny Tanner perde sua esposa, Pam, em um acidente de carro. Ele precisa, então, de ajuda para cuidar de suas três filhas, D.J., Stephanie e Michelle. Para isso, Danny recorre ao seu melhor amigo, Joey Gladstone e a seu cunhado, Jesse Cochran. O que deveriam ser apenas algumas semanas transforma-se em anos de convivência."
"""Stranger",66732,Stranger Things,tv,8.577,20747,191.5827,2016-07-15,,"Sci-Fi & Fantasy, Mistério, Action & Adventure",,"Winona Ryder, David Harbour, Millie Bobby Brown, Finn Wolfhard, Gaten Matarazzo","Quando um garoto desaparece, a cidade toda participa nas buscas. Mas o que encontram são segredos, forças sobrenaturais e uma menina."
"""An Incurable Case of Love",97948,Um Caso de Amor Incurável,tv,7.627,55,4.5449,2020-01-14,,"Comédia, Drama",田中健太,"上白石萌音, 佐藤健, 香里奈, 毎熊克哉, 片瀬那奈","Nanase Sakura é uma enfermeira novata de 23 anos. Ela conheceu o doutor Kairi Tendo há vários anos e se apaixonou por ele. Para encontrá-lo novamente, ela estudou muito e se tornou enfermeira. Depois de cinco anos, ela finalmente encontra Kairi Tendo novamente, mas ele tem uma personalidade totalmente diferente do que ela imaginava. Kairi Tendo, 31 anos, é comumente referido como o ""Diabo"" no trabalho. Ele é um perfeccionista equilibrado e costuma fazer comentários mordazes para médicos e enfermeiros. Nanase Sakura trabalha duro para receber o reconhecimento de Kairi Tendo e ela também expressa seus sentimentos honestamente para ele. Devido à sua persistência, Nanase Sakura se torna bem conhecida no hospital e ela pega o apelido de ""Guerreiro. Garota"" Enquanto isso, Kairi Tendo fica atraída por Nanase Sakura."
"""Para Sempre Camélia",93097,Para Sempre Camélia,tv,8.2,63,6.238,2019-09-18,,"Drama, Comédia",,"공효진, Kang Ha Neul, 김지석, 손담비, Oh Jung Se","Dongbaek é uma mãe solteira dona de um pequeno bar que vê sua vida tomar um novo rumo depois de conhecer Yongsik, um policial em sua pequena cidade. Eles se apaixonam, apesar do estigma social contra a mãe solteira."
"""The First Frost",1324447,The First Killing Frost,movie,0.0,0,0.0,,0.0,,,,
"""Rurouni Kenshin",210879,Rurouni Kenshin,tv,8.352,135,25.4241,2023-07-07,,"Animação, Action & Adventure",,"Soma Saito, Rie Takahashi, Taku Yashiro, Makoto Koichi, 大西沙織","Durante a agitação da Era Bakumatsu, havia um guerreiro Imperialista temido como o ""Battousai, o Retalhador"". No entanto, com a chegada da nova era, o Battosai desapareceu dos olhos do público, deixando para trás apenas sua lenda como o mais forte guerreiro Revolucionário."
"""Nevertheless,",703830,Nevertheless,movie,8.3,3,0.0744,2020-02-16,79.0,Documentário,Sarah Moshman,,
"""Secret Garden",521034,O Jardim Secreto,movie,6.344,604,1.9277,2020-07-08,99.0,"Família, Fantasia, Drama",Marc Munden,"Dixie Egerickx, Tommy Gene Surridge, Colin Firth, Julie Walters, Maeve Dermody","Mary Lennox é uma menina de 10 anos que acabou de perder os pais e é mandada para a Inglaterra para morar com o tio Archibald Craven. Na mansão do tio, ela começa a desvendar mistérios da família com a ajuda do seu primo."
