Tittle_Name,tmdb_id,name,media_type,vote_average,vote_count,popularity,release_date,runtime,genres,director,top_cast,overview
"""Top Gun",744,Top Gun - Ases Indomáveis,movie,7.1,9363,15.7624,1986-05-16,109.0,"Ação, Drama, Romance",Tony Scott,"Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards, Tom Skerritt","A escola naval de pilotos é onde o melhor dos melhores treinam para refinar suas habilidades de voo de elite. Quando o piloto Maverick é enviado para a escola, sua atitude irresponsável e comportamento arrogante o colocam em desacordo com os outros pilotos, especialmente Iceman. Porém Maverick não está apenas competindo para ser o piloto superior de caça, ele também está lutando pela atenção de sua bonita instrutora de voo, Charlotte Blackwood."
"""Bulgasal",137520,Bulgasal: Almas Imortais,tv,7.721,70,4.1258,2021-12-18,,"Drama, Sci-Fi & Fantasy, Action & Adventure",장영우,"이진욱, 권나라, 이준, 공승연, 정진영","Amaldiçoado desde o dia em que nasceu, um imortal é movido pelo desejo de recuperar sua alma e finalmente se vingar depois de 600 anos."
"""No te puedes esconder",94156,No te puedes esconder,tv,7.1,87,1.9136,2019-09-30,,"Crime, Action & Adventure",,"Blanca Soto, Eduardo Noriega, Maribel Verdú, Iván Sánchez, Plutarco Haza",
"""Missing",228663,Horimiya The Missing Pieces,tv,7.623,53,10.944,2023-07-01,,"Animação, Comédia, Drama",,"Haruka Tomatsu, Koki Uchiyama, Seiichiro Yamashita, 小坂井祐莉絵, Nobuhiko Okamoto",Um novo projeto de anime que adapta histórias secundárias populares deixadas de fora da adaptação anterior.
"""Labirinto Verde",70613,Labirinto Verde,tv,6.789,128,4.0966,2017-03-09,,"Crime, Drama, Mistério",,"Laurent Capelluto, Renaud Rutten, Hubert Delattre, Suliane Brahim, Camille Aguilar","Villefranche, uma pequena cidade isolada em meio a floresta e às montanhas, vem se transformando aos poucos num local de alta criminalidade. Quando o corpo de uma mulher é encontrado pendurado em uma misteriosa árvore, a inspetora policial Laurène inicia uma minuciosa investigação."
"""A Herdeira",212553,A Herdeira,tv,7.045,66,6.4832,2024-01-19,,"Drama, Mistério, Crime",Min Hong-nam,"김현주, 박희순, Park Byung Eun, Ryu Kyung Soo, Joo Suk-In","Após a morte de um tio desconhecido, uma mulher herda um cemitério e se vê no centro de vários assassinatos e segredos sombrios."
"""Victoria e Mistério""",754067,Victoria e Mistério,movie,7.114,516,1.6446,2021-12-15,84.0,"Aventura, Família, Drama",Denis Imbert,"Vincent Elbaz, Shanna Keil, Marie Gillain, Éric Elmosnino, Tchéky Karyo","Após a morte da mãe, uma garota e seu pai se mudam para o interior, onde um amigo especial a ajuda a reencontrar a alegria de viver. Inspirado em uma história real."
"""Os Irmãos Willoughby""",560044,Os Irmãos Willoughby,movie,7.052,954,2.5385,2020-04-22,92.0,"Animação, Comédia, Família, Fantasia",Kris Pearn,"Will Forte, Maya Rudolph, Alessia Cara, Terry Crews, Martin Short",Quatro irmãos com pais egoístas fazem um plano para se livrar deles de uma vez por todas e formar a família que desejam.
"""Erax""",929472,Erax,movie,4.6,39,0.5575,2022-02-17,14.0,"Mistério, Família",Hebru Brantley,"Jasmine Cephas Jones, Genesis White, Lance Gross","Neste curta-metragem de arrepiar, monstros saem de um livro de histórias mágico. É aí que começam as confusões e aventuras da tia Opal e sua sobrinha Nina."
"""The Last Kids on Earth",92684,4 Contra o Apocalipse,tv,8.1,47,2.7332,2019-09-17,,"Animação, Comédia, Sci-Fi & Fantasy",,"Bruce Campbell, Mark Hamill, Nick Wolfhard, Keith David, Rosario Dawson","Os quatro amigos continuam aproveitando a vida com seus aliados monstros, mas Jack teme que a descoberta de um transmissor de áudio acabe com a diversão."
"""13",15819,Armazém 13,tv,7.692,736,31.2353,2009-07-07,,"Sci-Fi & Fantasy, Comédia, Action & Adventure, Drama",,"Eddie McClintock, Joanne Kelly, Saul Rubinek, Allison Scagliotti-Smith, Aaron Ashmore","Em um museu de Washington D.C dois agentes do Serviço Secreto Myka Bering (Joanne Kelly) e Peter Lattimer (Eddie McClintock) entram em conflito sobre o planejamento de uma visita presidencial. Myka é extremamente organizada, rígida, enquanto Peter é mais flexível e receptivo, acreditando em seu instinto. Um curador corta seu dedo com os dentes de cristal de um artefato de cabeça de pedra e é possuído por um espírito e fora de sí, tenta atacar o presidente. Peter e Myka neutralizam a situação e são transferidos para o armazém no meio do nada e então a aventura começa. Confira o filme que deu origem a série de sucesso."
"""Riquinho",3026,Riquinho,tv,6.5,87,6.2068,1980-11-08,,"Animação, Família",,"Nancy Cartwright, Frank Welker, Christian Hoff, Sparky Marcus, Stan Jones","Riquinho é uma série animada produzida pela Hanna-Barbera, baseada nas histórias em quadrinhos de mesmo nome da Harvey Comics. No Brasil foi exibido nos programas infantis do SBT."
"""Ever After High",420750,Ever After High: Thronecoming,movie,8.4,12,0.714,2014-11-02,46.0,"Animação, Família, Fantasia",Brandon James Scott,"Erin Fitzgerald, Jonquil Goode, Laura Bailey, Kate Higgins, Cindy Robinson","Thronecoming é um evento muito importante de Ever After High, no qual há um desfile de carros alegóricos e, logo depois, um Baile de Máscaras. Nesse baile, coroa-se, por meio de uma votação, o rei e a rainha do baile. Dexter Charming e Humphrey Dumpty estão no comando da votação, no qual há quatro candidatas para o prêmio de rainha do baile: Apple White, Raven Queen, Blondie Lockes e Cupido. (O filme acontece depois do episódio 22 da 2ª temporada)"
"""Luccas Neto em",619248,Luccas Neto em: Acampamento de Férias,movie,7.7,21,0.0805,2019-07-27,87.0,Comédia,Lucas Margutti,"Luccas Neto, Giovanna Alparone, Roni Ficher, João Pessanha, Karol Alves",Luccas e Gi vão passar as férias no acampamento onde acontece a Gincana mais famosa do mundo. O único problema é que os 'implicantes' também foram para lá... Um musical para todas as idades que vai dar férias ao mau humor.
"""Bureau of Magical Things",82791,O Clube das Coisas Mágicas,tv,7.4,274,6.9142,2018-07-08,,"Sci-Fi & Fantasy, Kids, Comédia, Família, Action & Adventure",,"Kimie Tsukakoshi, Mia Milnes, Elizabeth Cullen, Julian Cullen, Rainbow Wedell","A adolescente Kyra acidentalmente descobre um mundo extraordinário e ganha poderes mágicos; quando uma ameaça inesperada surge, ela deve unir fadas, elfos e humanos para salvá-los todos."
"""Desventuras em Série""",65294,Lemony Snicket: Desventuras em Série,tv,7.4,996,16.4202,2017-01-13,,"Action & Adventure, Família, Comédia, Mistério",,"Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes, K. Todd Freeman","Baseada na coleção campeã de vendas do escritor Lemony Snicket (também conhecido como Daniel Handler), “Desventuras em Série” conta a trágica história dos irmãos Baudelaire – Violet, Klaus e Sunny – órfãos sob a guarda do terrível Conde Olaf, que fará de tudo para colocar as mãos na herança das crianças. Os irmãos precisam constantemente despistar Olaf, frustrar seus planos malignos e investigar a misteriosa morte de seus pais."
"""Guerra de Promotores",95231,Guerra de Promotores,tv,6.588,17,4.0384,2019-12-16,,Drama,Lee Tae-gon,"Sun-kyun Lee, 정려원, 이성재, 김광규, 전성우","Ser promotor não é só trabalho de glamour – resolver a criminalidade internacional e levar políticos corruptos à justiça, como Cha Myung Joo (Jung Ryeo Won) logo descobre!

Ela foi um dia a estrela em ascensão de seu departamento, trabalhando no escritório de promotoria central, lidando com casos interessantes. Mas agora ela foi transferida para uma pequena filial em uma pequena cidade onde seu trabalho diário é bem mais tedioso!"
"""Inspetora Koo Kyung Yi",129475,Inspetora Koo Kyung Yi,tv,7.3,157,4.4819,2021-10-30,,"Action & Adventure, Comédia, Drama, Mistério, Crime",Lee Jung-heum,"이영애, 김혜준, 김해숙, 곽선영, 백성철","Uma ex-policial reclusa volta à ativa como inspetora de seguros, atrás de pistas em cenas de crime perfeitamente orquestradas por um serial killer."
"""Chefe Kim",68947,Chefe Kim,tv,8.0,53,4.585,2017-01-25,,"Comédia, Drama",Lee Jae-hoon,"남궁민, 남상미, 이준호, 정혜성, 김원해","Será que a política empresarial pode fazer uma má pessoa se tornar boa? Kim Sung Ryong (Namgoong Min) é um habilidoso contador que trabalha para a máfia. Ele consegue se infiltrar em uma empresa chamada Grupo TQ, como gerente intermediário no departamento de Operações Comerciais, para desviar o dinheiro da empresa.  Ao mesmo tempo em que tem de lidar com a ambiciosa contadora Yoon Ha Kyung, o diretor financeiro Seo Yul (Junho) e a animada estagiária Hong Ga Eun (Jung Hye Sung), Sung Ryong se vê envolvido na política do escritório e observa os artifícios utilizados pelos que estão no poder e que ameaçam acabar com a empresa.  Sung Ryong lentamente começa a perceber que prefere lutar contra a corrupção empresarial e pelos direitos dos trabalhadores a concluir sua missão original.  Será que ele conseguirá ter sucesso em sua nova empreitada, contra todas as expectativas?"
"""Herdeiros",48462,Herdeiros,tv,7.793,648,8.9025,2013-10-09,,"Comédia, Drama",Kang Shin-hyo,"박신혜, 이민호, Kim Woo-bin, 김지원, 강민혁","Kim Tan mora nos EUA e é herdeiro de um dos homens mais ricos da Coréia. Cha Eun Sang mora na Coréia e tem uma vida difícil, tendo que manter vários empregos a fim de se sustentar e ajudar a mãe. Quando Cha Eun Sang vai aos EUA encontrar a irmã, eles acabam se esbarrando, no que parece ser um pequeno sonho na vida de Eun Sang. De volta à Coréia, o destino tratará de uni-los novamente em uma história que, além disso, mostra a vida, os amores e os aprendizados dos grandes herdeiros dos milionários da Coréia que frequentam o Colégio Jeguk."
"""The Fierce Wife",40484,The Fierce Wife,tv,4.5,11,3.2749,2010-11-05,,"Drama, Família",徐輔軍,"隋棠, 温昇豪, 宥勝, 朱芯儀, 阿寶","A bela dona de casa Xie An Zhen parece estar vivendo uma vida perfeita, mas vê seu mundo desmoronar ao saber que seu marido a está traindo."
"""Witch at Court",74114,A Bruxa do Tribunal,tv,7.789,19,4.3384,2017-10-09,,"Crime, Drama",,"정려원, 윤현민, 전광렬, 김민서, 김여진","Quando nada parecia ser capaz de impedir a promotora Ma Yi Deum de construir uma carreira imaculada, um acidente inesperado faz com que seu objetivo pessoal não seja concretizado. No entanto, um bom promotor não se deixar ser abatido. E assim ela conhece um novo promotor, Yeo Jin Wook, que escolheu o campo da lei sobre praticar medicina. Yi Deum e Jin Wook se odiam mutuamente, e, no entanto, os dois devem formar uma equipe e investigar crimes contra garotas."
"""A Bruxa do Tribunal",74114,A Bruxa do Tribunal,tv,7.789,19,4.3384,2017-10-09,,"Crime, Drama",,"정려원, 윤현민, 전광렬, 김민서, 김여진","Quando nada parecia ser capaz de impedir a promotora Ma Yi Deum de construir uma carreira imaculada, um acidente inesperado faz com que seu objetivo pessoal não seja concretizado. No entanto, um bom promotor não se deixar ser abatido. E assim ela conhece um novo promotor, Yeo Jin Wook, que escolheu o campo da lei sobre praticar medicina. Yi Deum e Jin Wook se odiam mutuamente, e, no entanto, os dois devem formar uma equipe e investigar crimes contra garotas."
"""Segurança em Jogo",80307,Segurança em Jogo,tv,7.767,1077,11.2179,2018-08-26,,"Crime, Drama, War & Politics, Mistério",,"Richard Madden, Keeley Hawes, Sophie Rundle, Gina McKee, Pippa Haywood","Após ajudar a evitar um ataque terrorista, um veterano de guerra recebe a missão de proteger a ministra que foi uma das responsáveis pelo conflito em que ele lutou."
"""Followers",98772,Seguidores,tv,6.7,22,2.2599,2020-02-27,,Drama,蜷川実花,"中谷美紀, 池田エライザ, Mari Natsuki, 板谷由夏, コムアイ","Quando uma atriz desconhecida conquista a fama graças a uma postagem no Instagram, várias mulheres se cruzam na busca pela felicidade na vida real em Tóquio."
"""Casamento às Cegas Brasil",133356,Casamento às Cegas: Brasil,tv,6.486,36,1.7702,2021-10-06,,Reality,Cassia Dian,"Camila Queiroz, Klebber Toledo","Em busca do amor verdadeiro e com a intenção de subir ao altar, os participantes desse reality devem escolher seus parceiros às cegas. Já noivos, eles precisam enfrentar os desafios da convivência e se conhecer melhor antes do grande dia."
"""Dra. Cha",214997,Dra. Cha,tv,8.0,59,7.8756,2023-04-15,,"Drama, Comédia",,"엄정화, 김병철, 명세빈, Min Woo-hyuk, 송지호","Conta a história de uma graduada em medicina que se tornou dona de casa, mas decidiu retornar à área médica, e do marido médico que mantém uma vida dupla perfeita. Ele é ótimo em seu trabalho e também é ótimo em trair sua esposa."
"""Segunda Chance",1950,Everwood: Uma Segunda Chance,tv,7.6,213,67.0592,2002-09-16,,"Drama, Família",,"Treat Williams, Gregory Smith, Emily VanCamp, Debra Mooney, John Beasley","Após perder a esposa de maneira trágica, o Dr. Andy Brown decide se mudar de Nova Iorque com os filhos para Everwood, no Colorado. Seus filhos Ephram e Delia precisam se adaptar ao novo ritmo de vida na cidade, que é bem diferente da agitada Nova Iorque. Ephram vive em conflito com seu pai pela falta de diálogo e aproximação, e a morte da mãe intensificou o problema. Andy agora precisa ser um pai mais presente e amigo dos filhos, e ainda ter que lidar com os novos problemas que acabaram aparecendo com sua chegada à cidade."
"""Project Mc²",63454,Project Mc²,tv,7.5,54,3.4996,2015-08-07,,"Família, Comédia",,"Mika Abdalla, Ysa Penarejo, Victoria Vida, Genneya Walton","A espia adolescente McKeyla junta-se a três outras inteligentes raparigas, todas elas agentes secretas que usam habilidades científicas e tecnológicas para salvar o dia. Danica McKellar, autora de livros de matemática best-sellers do New York Times, é a líder da organização secreta NOV8."
"""Full Out 2",696160,Full Out 2: You Got This!,movie,6.5,70,0.3437,2020-02-01,91.0,"Família, Cinema TV",Jeff Deverett,"Logan Edra, Sydney Cope, Braedyn Bruner, Liza Wilk, Billie D. Merritt","Quando os Sooners da Universidade de Oklahoma perdem sua ginasta estrela, Brenna Dowell, o resto da equipe tem que encontrar uma maneira de acreditar em si mesmo para ganhar seu segundo Campeonato Nacional de Ginástica. Com a ajuda de Riley, um fenômeno local de breakdance, Chayse e seus colegas de equipe da OU aprendem a incorporar técnicas de breakdance intrincadas em suas rotinas de ginástica para encontrar uma vantagem competitiva. No final de tudo, eles percebem que o que mais importa é encontrar a confiança para acreditar em si mesmo."
"""Infidelidade""",61463,The Affair: Infidelidade,tv,6.7,399,19.8653,2014-10-12,,Drama,,"Dominic West, Maura Tierney, Julia Goldani Telles, Jadon Sand, Anna Paquin","Noah Solloway é um professor de Nova York, feliz no casamento, que se vê fortemente atraído pela garçonete Alison Lockhart, quando sai de férias com sua família em Long Island. Mas não se trata de um simples caso, quando os dois lados do romance são analisados por um detetive investigando um crime."
"""Os Suspeitos""",146233,Os Suspeitos,movie,8.1,12802,18.1869,2013-09-19,153.0,"Drama, Thriller, Crime",Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard","Depois que sua filha de seis anos e uma amiga dela são sequestradas, Keller Dove, um carpinteiro de Boston, enfrenta o departamento de polícia e o jovem detetive encarregado do caso para fazer justiça com as próprias mãos."
"""Sorriso Real",198004,Sorriso Real,tv,8.195,581,20.3845,2023-06-17,,"Drama, Comédia",,"이준호, 윤아, 고원희, 김가은, 안세하","Em meio a uma disputa pela herança, um charmoso herdeiro entra em conflito com uma funcionária e seu enorme sorriso, que ele simplesmente não suporta."
"""Consumidas pelo Fogo",210268,Consumidas pelo Fogo,tv,7.1,64,23.4927,2023-07-13,,"Drama, Mistério",,"永野芽郁, Kjóka Suzuki, 恒松祐里, 吉瀬美智子, 中川大志","Treze anos atrás, a mãe assumiu a culpa por um trágico incêndio. Agora, a filha usa outro nome, trabalha para a madrasta e tem sede de vingança."
"""Sweet Home",96648,Sweet Home,tv,8.227,1540,21.6039,2020-12-18,,"Sci-Fi & Fantasy, Action & Adventure",,"Song Kang, 이진욱, 이시영, 정진영, Lee Do-hyun","Quando humanos viram monstros selvagens e espalham o terror, um jovem atormentado e seus vizinhos de apartamento lutam para sobreviver sem perder a humanidade."
"""The Legend of White Snake",88146,A Lenda do Mestre Chinês,tv,7.2,12,3.254,2019-04-03,,"Drama, Sci-Fi & Fantasy",智磊,"鞠婧祎, 于朦朧, Pei Zitian, 肖燕, Nie Zihao","Os espíritos têm passado despercebidos pelo mundo mortal desde o início dos tempos. Partes deste mundo, ainda que separadas, esses seres imortais são vistos como nada além de lendas pelos humanos ao seu redor. Mas o que acontece quando esses dois mundos colidem? Provocado pelas ações de um humano aparentemente astuto, um antigo espírito de cobra assume uma forma humana, a fim de provar que ele é uma fraude. Convencida de que está fazendo um favor ao mundo, Bai Su Zhen desafia Xu Xuan a um concurso de habilidades, mas o que começa como uma rivalidade acirrada logo se transforma em uma paixão ardente. Diante da oposição de todos os lados, o amor de Bai Su Zhen e Xu Xuan é posto à prova várias vezes nesta nova recontagem de um conto clássico."
"""Quartet",617126,Quarteto Fantástico: Primeiros Passos,movie,7.0,3032,30.0942,2025-07-23,115.0,"Ficção científica, Aventura, Ação",Matt Shakman,"Pedro Pascal, Vanessa Kirby, Ebon Moss-Bachrach, Joseph Quinn, Ralph Ineson","No vibrante cenário de um mundo retrofuturista inspirado nos anos 1960, a Primeira Família da Marvel é forçada a equilibrar seus papéis como heróis com a força de seus laços familiares, enquanto defendem a Terra de um deus espacial voraz chamado Galactus e sua enigmática arauta, a Surfista Prateada."
"""Battle",1972,Battlestar Galactica,tv,8.216,1718,37.7941,2004-10-18,,"Sci-Fi & Fantasy, Action & Adventure, Drama",,"Edward James Olmos, Mary McDonnell, Jamie Bamber, Katee Sackhoff, James Callis","Cylons - máquinas criadas por humanos - atacam seus criadores que agora vagam pelo espaço a procura da Terra. As 12 Tribos de Kobol tem que lidar com falta de recursos, revolta, conspirações políticas enquanto fogem dos Cylons. Refilmagem da série de mesmo nome da década de 80. Battlestar Galactica não é uma série comum de ficção cientí­fica, aborda religião, preconceito, polí­tica e diversos outros temas em um cenário inusitado, sem deixar de lado a ação e o suspense que se espera de uma série deste tipo."
"""Glass Onion",661374,Glass Onion: Um Mistério Knives Out,movie,7.034,6594,11.6549,2022-11-23,140.0,"Comédia, Crime, Mistério",Rian Johnson,"Daniel Craig, Edward Norton, Janelle Monáe, Kathryn Hahn, Leslie Odom Jr.",O famoso detetive Benoit Blanc vai à Grécia para desvendar um mistério que envolve um bilionário e seu eclético círculo de amizades.
"""El Camino",559969,El Camino: A Breaking Bad Film,movie,7.045,5516,5.6094,2019-10-11,122.0,"Crime, Drama, Thriller",Vince Gilligan,"Aaron Paul, Jesse Plemons, Charles Baker, Matt Jones, Scott MacArthur","Após sua dramática fuga do cativeiro, Jesse precisa se reconciliar com o passado para que consiga criar algum tipo de futuro. Escrito e dirigido pelo criador de Breaking Bad, Vince Gilligan, e estrelado por Aaron Paul."
"""Wakfu",64414,Wakfu,tv,8.3,116,12.2304,2008-10-30,,"Animação, Action & Adventure, Drama, Sci-Fi & Fantasy, Comédia",,"Thomas Guitard, Geneviève Doang, Fanny Bloc, Adeline Chetail, Xavier Fagnon","Wakfu se passa mil anós após Dofus, em um mundo destruido pela fúria de Orgrest, o ogro. 

A história começa com Yugo, um jovem de uma classe desconhecida, que vai junto a um amigo de seu pai, o Enutrof Ruel, em busca de sua família verdadeira e também para salvar seu ""pai"" que sofre com o ataque de seres bastante esquisitos."
"""Barbie",346698,Barbie,movie,6.928,10812,28.326,2023-07-19,114.0,"Comédia, Aventura",Greta Gerwig,"Margot Robbie, Ryan Gosling, America Ferrera, Ariana Greenblatt, Issa Rae","No mundo mágico das Barbies, ""Barbieland"", uma das bonecas começa a perceber que não se encaixa como as outras. Depois de ser expulsa, ela parte para uma aventura no ""mundo real"", onde descobre que a beleza está no interior de cada um."
"""Blindspot",62710,Ponto Cego,tv,7.377,2518,42.5763,2015-09-21,,"Crime, Drama, Action & Adventure",,"Jaimie Alexander, Sullivan Stapleton, Audrey Esparza, Ashley Johnson, Ennis Esmer","Misteriosa mulher é encontrada na Times Square, sem quaisquer lembranças de quem ela é e de como chegou ali. As únicas pistas que ela possui são as tatuagens que cobrem todo o seu corpo. Um agente do FBI passa a ajudá-la enquanto buscam a verdade."
"""Arcane",94605,Arcane,tv,8.751,5712,46.249,2021-11-06,,"Animação, Action & Adventure",,"Hailee Steinfeld, Ella Purnell","Em meio ao conflito entre as cidades-gêmeas de Piltover e Zaun, duas irmãs lutam em lados opostos de uma guerra entre tecnologias mágicas e convicções incompatíveis."
"""Vera e o Reino do Arco-Íris",73275,Vera e o Reino do Arco-Iris,tv,8.5,20,3.8388,2017-08-11,,"Animação, Kids, Comédia",,"Anna Claire Bartlam, Jamie Watson, Michela Luci, Nicolas Aqui",A destemida Vera tem oito anos e a incrível habilidade de usar a Árvore dos Desejos para ajudar a proteger os cidadãos da terra colorida do Reino do Arco-Íris.
"""Pocoyo",2437,Pocoyo,tv,0.0,0,13.0581,2005-05-10,,"Animação, Kids, Família",,"Rowan Alltraine, Codiefia Darby","Acompanhe o pequeno Pocoyo em suas aventuras e descobertas, nesta vibrante série animada para crianças em idade pré-escolar."
"""Turma CoComelon",209710,Turma CoComelon,tv,7.6,31,1.8189,2023-11-17,,"Animação, Kids",,"Cruze McKinnon, Samantha Alarcon, Denzel Onaba, Diana Tsoy, Sebastian Billingsley-Rodriguez","Explore os sentimentos e o mundão lá fora com os personagens de CoComelon, que vão levar você em aventuras cheias de imaginação."
"""Masha and the Bear",1208026,Masha e o Urso - Diversão em Dobro!,movie,1.0,2,0.6606,2023-12-14,80.0,"Animação, Família",Васико Бедошвили,"Boris Kutnevich, Kaitlyn McCormick, Elsie Fisher, Rebecca Bloom, Mark Kutnevich","Masha deixa a floresta em busca de uma aventura na cidade, onde se depara com muitas situações e surpresas inesperadas enquanto participa de um casamento e, mais tarde, procura fazer tudo o que estiver ao seu alcance para salvar o Natal."
"""Masha e o Urso",46080,Masha e o Urso,tv,6.856,413,23.3349,2009-01-07,,"Animação, Família, Kids, Comédia",,Boris Kutnevich,"A pequena Masha mora perto de uma floresta e vive aventuras incríveis com seu melhor amigo, um urso que trabalhava no circo."
"""Little Angel",14483,Little Angels,tv,9.0,2,0.641,2004-02-09,,Documentário,,"Tanya Byron, Laverne Antrobus",
"""Poder de Princesa",209708,Poder de Princesa,tv,7.2,21,4.7527,2023-01-30,,"Kids, Animação",,"Trinity Jo-Li Bliss, Dana Heath, Madison Calderon, Alanna Ubach","As amigas princesas dos Fruti-reinos Mirtilo, Kiwi, Abacaxi e Framboesa não param por nada em sua missão de fazer do mundo um lugar melhor."
"""The Office (U.S.)",2316,The Office,tv,8.597,4991,117.8974,2005-03-24,,Comédia,,"Rainn Wilson, John Krasinski, Jenna Fischer, Ed Helms","Michael Scott é o egocêntrico, insensível e incompetente gerente regional de uma subsidiária da Dunder Mifflin Paper Company. Michael acredita ser o cara mais engraçado do escritório, uma fonte de sabedoria para negócios e o melhor amigo de seus funcionários. Ele nem desconfia que a sua equipe o tolera apenas pelo fato dele assinar o contracheque deles. Sem saber o que os seus funcionários pensam a seu respeito, Michael acaba sempre alternando decisões absurdas ou patéticas, mas sempre hilárias."
"""A Casa Mágica da Gabby",111474,A Casa Mágica da Gabby,tv,7.929,92,14.1324,2021-01-05,,"Kids, Comédia, Animação",,Laila Lockhart Kraner,Esta série colorida leva crianças em idade pré-escolar de sala em sala através de uma fantástica casa de bonecas de mini-mundos encantadores e personagens de gatinhos irresistíveis.
"""Trailer Part 2",869603,Trailer Trauma at the Drive-In Part 2,movie,8.0,1,0.0214,2021-08-31,180.0,,,,
"""Aquele Natal""",645757,Aquele Natal,movie,7.162,421,2.6231,2024-11-27,95.0,"Animação, Comédia, Família, Fantasia, Aventura",Simon Otto,"Brian Cox, Bill Nighy, Fiona Shaw, Jack Wisniewski, Jodie Whittaker","A pior nevasca da história transforma o Natal da cidadezinha de Wellington-on-Sea em algo inesquecível e muda os planos de todos, inclusive do Papai Noel."
"""A Grande Inundação""",982843,A Grande Inundação,movie,5.995,608,26.9205,2025-09-18,107.0,"Ficção científica, Aventura, Drama",김병우,"Kim Da Mi, 박해수, 권은성, 전혜진, Park Byung Eun","No que poderia ser o último dia da vida na Terra, uma luta em um apartamento inundado se transforma na única esperança de sobrevivência da humanidade."
"""Mistérios Animais",195407,Mistérios Animais,tv,7.8,16,13.8886,2022-04-12,,"Kids, Animação",,"Nneka Okoye, Shash Hira",Os agentes especiais Sam e Kit viajam pelo mundo para investigar fatos científicos e desvendar mistérios do mundo animal usando gadgets maneiros.
"""One Piece",111110,ONE PIECE: A Série,tv,8.113,1487,36.4139,2023-08-31,,"Action & Adventure, Sci-Fi & Fantasy",,"Iñaki Godoy, Emily Rudd, 新田真剣佑, Jacob Gibson, Jeff Ward","O jovem pirata Monkey D. Luffy veste o chapéu de palha e, com sua tripulação atrapalhada, zarpa em uma jornada épica nesta adaptação em live-action do popular mangá."
"""Stranger Things 5",1610413,A Última Aventura: Nos Bastidores de Stranger Things 5,movie,7.5,70,5.1087,2026-01-11,123.0,Documentário,Martina Radwan,"Ross Duffer, Matt Duffer, Paul Dichter, Kate Trefry, Caitlin Schneiderhan","Mergulhe nos bastidores da série dos irmãos Duffer que marcou uma geração, e confira todo o trabalho e anos de dedicação por trás da temporada final."
"""O Pequeno Poderoso Bheem",88393,O Pequeno Poderoso Bheem,tv,8.1,20,1.9685,2019-04-12,,"Animação, Kids, Comédia, Família",,,A curiosidade e a força sem limites de uma criança inocente levam bagunça e aventura a uma pequena cidade da Índia.
"""One Against All",710889,TNA One Night Only: Against All Odds 2016,movie,5.0,1,1.368,2016-11-04,180.0,,,"Michael Hutter, Matthew Hardy, Thom Latimer, James Cox, Gail Kim",
"""Garfield",4606,Garfield e Seus Amigos,tv,7.261,385,21.3244,1988-09-17,,"Animação, Comédia, Kids",,"Lorenzo Music, Gregg Berger, Thom Huge, Howard Morris, Frank Welker","Jon Arbuckle é um solteirão convicto que está sempre metido em trapalhadas. Garfield é seu gato muito preguiçoso, que adora lasanha e vive aprontando com Odie, o cão da casa."
"""F1",911430,F1: O Filme,movie,7.77,3451,34.3707,2025-06-25,155.0,"Ação, Drama",Joseph Kosinski,"Brad Pitt, Damson Idris, Javier Bardem, Kerry Condon, Tobias Menzies","Sonny Hayes, a lenda do automobilismo, é persuadido a deixar a aposentadoria para liderar uma equipe de Fórmula 1 em dificuldades—e ser mentor de um jovem piloto famoso—enquanto busca mais uma oportunidade de glória."
"""Night at the Museum",1593,Uma Noite no Museu,movie,6.597,10807,9.0907,2006-12-20,108.0,"Ação, Aventura, Comédia, Família, Fantasia",Shawn Levy,"Ben Stiller, Carla Gugino, Dick Van Dyke, Mickey Rooney, Bill Cobbs","Quando Larry Daley é contratado como guarda noturno no museu, ele logo descobre que todos os seres do museu ganham vida após o pôr-do-sol. Logo de cara, Larry se vê frente a frente com um brincalhão esqueleto de T. Rex, mas também é cercado por exércitos de minúsculos soldados romanos e por caubóis armados. Para completar, há um macaquinho endiabrado que o deixa maluco! Mas talvez ele consiga descobrir um modo de controlar o caos e tornar-se um herói aos olhos de seu filho."
"""Love, Death & Robots",86831,"Love, Death & Robots",tv,8.215,3881,28.6518,2019-03-15,,"Animação, Sci-Fi & Fantasy",,,"Criaturas aterrorizantes, surpresas bizarras e humor ácido habitam e florescem de cada um dos vários universos únicos criados para essa coletânea de curtas de animação, em que cada episódio apresenta sua própria narrativa e estilo visual."
"""Frankenstein""",64421,As Crônicas de Frankenstein,tv,6.961,129,8.4698,2015-11-11,,"Sci-Fi & Fantasy, Drama",,"Sean Bean, Richie Campbell, Ed Stoppard, Tom Ward, Frank Blake","A história é situada no ano de 1827. John Marlott é um inspetor de polícia encarregado pelo Secretário de Segurança Sir Robert Peel, para investigar um caso bizarro. Quando o corpo de uma criança é encontrado no Rio, uma análise revela que não se trata de uma pessoa e sim de uma criatura com forma humana. Assim, o inspetor inicia uma caçada ao responsável por aquela criatura, o que o leva a conhecer o misterioso Dr. Frankenstein."
"""Coleção Natal dos Pequenos",306162,Coleção Natal dos Pequenos,tv,0.0,0,0.0486,2025-11-20,,,,,Entre no clima de fim de ano com esta seleção alegre e encantadora de séries e especiais de Natal. Um presentão para ninguém botar defeito!
